Time Period,Category Name,Large Household Appliances,Small Household Appliances,IT and Telcomms Equipment,Consumer Equipment,Lighting Equipment,Electrical and Electronic Tools,Toys Leisure and Sports,Medical Devices,Monitoring and Control Instruments,Automatic Dispensers,Display Equipment,Cooling Appliances Containing Refrigerants,Gas Discharge Lamps and LED Light Sources,Photovoltaic Panels
Apr - Jun 2018,Household WEEE returned under regulation 50 (tonnes),"2,410.793","1,505.213","3,083.067","1,695.227",0.000,255.523,49.586,0.996,28.332,0.150,"1,254.438","1,965.821",868.721,0.000
Jan - Mar 2018,"Household WEEE collected from a DCF 
(tonnes)","20,284.110","7,639.243","7,737.624","7,311.123",0.000,"3,961.393",478.488,0.009,7.448,0.000,"10,555.659","19,252.528",292.849,0.523
Jan - Mar 2018,Household WEEE returned under regulation 43 (tonnes),"21,503.574",166.839,145.647,52.880,0.000,51.291,4.932,0.001,2.781,0.000,314.690,"8,515.254",60.627,0.000
Jan - Mar 2018,Household WEEE returned under regulation 50 (tonnes),"2,908.514","1,298.526","3,133.543","1,355.781",0.000,236.198,60.319,1.114,34.669,0.000,"1,260.736","1,768.541",955.227,0.874
Oct - Dec 2017,"Household WEEE collected from a DCF 
(tonnes)","25,576.868","6,720.527","7,165.466","6,658.662",0.000,"3,608.794",441.354,0.296,6.270,0.060,"10,281.165","22,620.000",361.247,10.480
Oct - Dec 2017,Household WEEE returned under regulation 43 (tonnes),"14,333.608",201.958,149.106,46.706,0.000,61.829,3.460,0.003,8.390,0.000,310.944,"6,928.902",66.464,0.022
Oct - Dec 2017,Household WEEE returned under regulation 50 (tonnes),"2,617.341",883.776,"3,317.919","2,011.724",0.000,223.486,43.044,3.976,14.860,0.000,"1,304.844","2,378.867",854.386,0.000
Jul - Sep 2017,"Household WEEE collected from a DCF 
(tonnes)","26,111.177","8,385.218","8,887.236","8,315.927",0.000,"4,546.754",542.502,0.310,7.688,0.100,"12,032.683","27,161.016",300.645,2.123
Jul - Sep 2017,Household WEEE returned under regulation 43 (tonnes),"14,053.673",149.001,251.688,28.866,0.000,53.598,2.511,0.053,7.952,0.048,300.960,"8,273.316",58.726,10.257
Jul - Sep 2017,Household WEEE returned under regulation 50 (tonnes),"3,561.392","1,154.205","3,744.446","2,071.535",0.000,361.675,71.654,2.448,12.150,0.100,"1,330.095","2,546.239",888.915,59.220
Apr - Jun 2017,"Household WEEE collected from a DCF 
(tonnes)","27,028.130","8,632.211","8,929.681","8,569.020",0.968,"4,686.607",555.750,0.299,7.489,0.000,"12,172.230","24,650.107",297.866,13.342
Apr - Jun 2017,Household WEEE returned under regulation 43 (tonnes),"13,751.526",128.712,142.320,32.097,0.000,61.536,2.821,0.006,5.343,0.000,292.863,"6,470.387",79.967,0.000
Apr - Jun 2017,Household WEEE returned under regulation 50 (tonnes),"5,227.901","1,299.619","3,677.141","2,092.762",0.000,402.937,69.235,5.953,23.140,0.000,"1,330.836","2,174.058",992.687,7.795
Jan - Mar 2017,"Household WEEE collected from a DCF 
(tonnes)","28,294.000","7,931.944","8,448.569","7,851.980",0.000,"4,255.971",516.564,1.226,10.805,0.000,"13,168.037","23,609.855",334.128,1.193
Jan - Mar 2017,Household WEEE returned under regulation 43 (tonnes),"17,411.045",113.845,151.795,58.758,0.000,63.027,9.005,0.125,16.850,0.000,415.550,"6,735.085",78.989,0.000
Jan - Mar 2017,Household WEEE returned under regulation 50 (tonnes),"5,737.677","1,105.243","3,691.155","1,795.716",0.000,371.181,71.693,6.835,17.078,0.000,"1,258.539","2,132.718","1,055.035",2.060
Oct - Dec 2016,"Household WEEE collected from a DCF 
(tonnes)","27,087.460","6,838.455","7,853.112","6,736.929",0.000,"3,652.777",473.765,0.652,6.033,0.000,"13,235.579","22,661.359",313.407,12.000
Oct - Dec 2016,Household WEEE returned under regulation 43 (tonnes),"17,678.610",102.952,189.883,55.230,0.000,90.210,4.614,0.000,64.538,0.003,809.064,"7,801.472",47.167,0.000
Oct - Dec 2016,Household WEEE returned under regulation 50 (tonnes),"6,069.457","1,198.244","4,405.239","1,772.150",0.000,299.824,57.309,5.605,27.850,2.677,"3,225.166","1,616.719","1,200.999",5.269
Jul - Sep 2016,"Household WEEE collected from a DCF 
(tonnes)","26,829.066","8,602.345","8,868.736","8,639.221",0.000,"4,713.118",594.519,13.596,7.465,0.000,"14,900.654","27,035.484",291.847,3.200
Jul - Sep 2016,Household WEEE returned under regulation 43 (tonnes),"16,698.727",79.377,191.836,57.962,0.000,126.320,4.963,0.000,0.050,0.000,250.772,"8,028.874",77.544,0.000
Jul - Sep 2016,Household WEEE returned under regulation 50 (tonnes),"9,477.767","1,094.670","3,520.993","1,652.308",0.000,259.037,66.995,3.255,24.178,0.175,"2,303.353","1,869.884",932.960,17.202
Apr - Jun 2016,"Household WEEE collected from a DCF 
(tonnes)","29,968.626","9,305.805","9,531.361","9,235.069",0.000,"5,009.954",631.442,0.721,7.757,0.000,"16,759.106","25,610.106",287.084,5.000
Apr - Jun 2016,Household WEEE returned under regulation 43 (tonnes),"15,459.529",106.792,438.667,63.102,0.000,101.294,9.924,0.000,0.046,0.000,328.149,"6,393.869",85.525,0.000
Apr - Jun 2016,Household WEEE returned under regulation 50 (tonnes),"9,085.362","1,023.009","4,416.363","2,390.480",0.000,271.710,81.157,2.470,10.315,6.411,"2,205.497","1,603.836","1,149.262",26.121
Jan - Mar 2016,"Household WEEE collected from a DCF 
(tonnes)","30,414.890","8,234.371","8,494.889","8,188.640",0.000,"4,417.310",564.149,0.601,6.925,0.000,"17,381.308","23,250.011",362.508,2.500
Jan - Mar 2016,Household WEEE returned under regulation 43 (tonnes),"17,278.743",141.552,213.889,84.814,0.000,101.699,8.068,0.000,0.076,0.000,359.165,"6,665.960",43.031,0.000
Jan - Mar 2016,Household WEEE returned under regulation 50 (tonnes),"8,102.201","1,316.219","4,383.254","1,778.654",0.000,247.322,51.060,3.606,9.553,0.011,"2,992.748","1,900.476","1,248.653",28.073
Oct - Dec 2015,"Household WEEE collected from a DCF 
(tonnes)","26,963.655","7,061.909","7,303.501","7,125.171",0.000,"3,820.883",485.995,0.486,7.085,3.760,"13,788.029","21,366.427",159.403,3.000
Oct - Dec 2015,Household WEEE returned under regulation 43 (tonnes),"16,622.791",106.569,102.103,84.191,0.000,35.579,8.388,0.000,0.169,0.000,860.652,"6,693.309",0.313,19.825
Oct - Dec 2015,Household WEEE returned under regulation 50 (tonnes),"4,110.343",867.573,"4,076.564","1,664.739",0.000,308.853,63.609,14.588,27.819,0.080,"1,914.758","1,793.268",970.392,0.000
Jul - Sep 2015,"Household WEEE collected from a DCF 
(tonnes)","25,530.462","8,470.025","9,062.957","8,406.384",0.000,"4,417.246",571.514,0.518,7.014,0.000,"16,070.961","23,640.737",221.385,0.000
Jul - Sep 2015,Household WEEE returned under regulation 43 (tonnes),"14,738.553",95.892,113.810,70.297,0.000,36.367,13.446,0.000,0.294,0.000,856.434,"8,136.223",9.981,41.768
Jul - Sep 2015,Household WEEE returned under regulation 50 (tonnes),"3,253.850",956.407,"3,365.690","1,517.552",0.678,481.106,41.620,6.107,6.094,0.134,"1,739.824","1,806.187","1,061.570",0.000
Apr - Jun 2015,"Household WEEE collected from a DCF 
(tonnes)","24,738.099","8,561.671","8,964.357","8,583.412",0.000,"4,583.702",579.970,0.564,7.245,0.000,"16,680.079","21,911.060",207.786,0.000
Apr - Jun 2015,Household WEEE returned under regulation 43 (tonnes),"14,438.495",99.767,91.297,83.254,0.000,81.533,6.290,0.000,0.077,0.000,508.197,"6,309.998",13.984,21.714
Apr - Jun 2015,Household WEEE returned under regulation 50 (tonnes),"3,149.352","1,018.450","3,518.406","1,396.400",0.005,312.307,55.444,6.594,17.658,0.540,"1,327.058","1,723.644","1,153.213",0.000
Jan - Mar 2015,"Household WEEE collected from a DCF 
(tonnes)","24,319.314","7,364.097","7,329.200","7,290.134",0.000,"3,935.067",479.268,0.274,6.278,0.000,"17,830.772","20,092.944",270.871,0.000
Jan - Mar 2015,Household WEEE returned under regulation 43 (tonnes),"16,983.187",132.948,130.008,122.973,0.000,218.827,14.671,0.000,0.302,0.000,908.675,"6,970.525",99.201,8.284
Jan - Mar 2015,Household WEEE returned under regulation 50 (tonnes),"3,602.776","1,009.850","3,239.573","1,693.223",0.000,303.113,103.184,4.509,9.117,0.546,"2,316.473","1,833.141","1,077.170",0.000
Oct - Dec 2014,"Household WEEE collected from a DCF 
(tonnes)","22,487.735","6,217.493","6,468.184","6,285.790",0.091,"3,384.446",430.234,0.450,5.357,0.000,"16,743.912","19,032.275",231.628,0.000
Oct - Dec 2014,Household WEEE returned under regulation 43 (tonnes),"18,476.556",149.192,101.563,86.388,0.000,187.555,11.294,0.000,0.307,0.000,989.332,"8,518.638",33.683,0.000
Oct - Dec 2014,Household WEEE returned under regulation 50 (tonnes),"3,141.959",896.715,"2,761.103","1,761.501",0.056,339.066,70.947,4.464,5.091,0.439,"1,780.623","1,638.162",903.980,0.000
Jul - Sep 2014,"Household WEEE collected from a DCF 
(tonnes)","22,187.986","7,838.930","7,829.825","7,892.057",0.977,"4,279.374",524.657,0.434,7.189,2.007,"18,538.154","21,208.057",220.854,0.000
Jul - Sep 2014,Household WEEE returned under regulation 43 (tonnes),"16,339.151",189.861,88.000,86.363,0.000,195.318,7.743,0.013,0.309,0.000,732.873,"10,250.012",19.125,0.000
Jul - Sep 2014,Household WEEE returned under regulation 50 (tonnes),"3,550.095",825.428,"1,187.720","1,152.326",0.288,232.573,28.998,0.542,4.962,0.000,"1,330.218","1,788.083",135.858,0.000
Apr - Jun 2014,"Household WEEE collected from a DCF 
(tonnes)","21,947.847","7,922.309","8,131.562","8,048.207",0.191,"4,263.687",505.786,0.749,16.487,0.096,"19,250.893","18,913.552",230.573,0.000
Apr - Jun 2014,Household WEEE returned under regulation 43 (tonnes),"15,142.522",198.447,252.869,119.578,0.000,193.102,12.720,0.016,0.503,0.018,873.351,"7,427.036",18.483,0.000
Apr - Jun 2014,Household WEEE returned under regulation 50 (tonnes),"3,128.539",718.865,996.365,"1,243.392",0.923,223.546,32.362,0.250,0.955,4.695,712.048,"1,432.600",12.892,0.000
Jan - Mar 2014,"Household WEEE collected from a DCF 
(tonnes)","21,232.338","7,261.517","7,435.010","7,328.272",0.149,"3,849.122",460.828,0.705,16.176,0.007,"20,084.989","16,901.860",209.528,0.000
Jan - Mar 2014,Household WEEE returned under regulation 43 (tonnes),"17,452.167",252.980,178.723,101.969,0.099,199.862,25.068,0.216,5.676,0.052,"1,132.396","6,425.643",24.959,0.000
Jan - Mar 2014,Household WEEE returned under regulation 50 (tonnes),"3,209.121",607.181,627.058,"1,080.063",0.222,155.071,50.929,1.008,1.712,0.407,574.289,"1,662.752",22.979,0.000
Oct - Dec 2013,"Household WEEE collected from a DCF 
(tonnes)","28,519.058","6,143.393","6,517.011","6,450.598",0.172,"3,312.781",398.443,1.176,5.424,0.000,"19,111.145","17,533.280",179.027,
Oct - Dec 2013,Household WEEE returned under regulation 43 (tonnes),"8,393.158",366.236,219.367,81.288,1.334,181.831,12.832,0.000,0.438,0.000,"1,104.335","6,891.281",22.916,
Oct - Dec 2013,Household WEEE returned under regulation 50 (tonnes),"3,284.370",942.216,652.944,"1,247.168",0.786,155.437,121.559,1.240,0.390,0.013,"1,331.059","2,556.591",35.358,
Jul - Sep 2013,"Household WEEE collected from a DCF 
(tonnes)","27,896.167","7,568.298","7,897.774","7,621.199",0.192,"4,059.748",477.821,0.532,16.881,0.000,"21,554.036","20,370.955",170.916,
Jul - Sep 2013,Household WEEE returned under regulation 43 (tonnes),"6,600.731",277.928,256.268,100.838,0.000,218.636,18.520,0.000,1.071,0.000,"1,236.054","6,614.622",3.584,
Jul - Sep 2013,Household WEEE returned under regulation 50 (tonnes),"3,282.258",974.505,606.700,"1,042.649",1.261,227.315,67.508,1.183,0.371,0.339,"1,511.330","2,990.457",22.048,
Apr - Jun 2013,"Household WEEE collected from a DCF 
(tonnes)","28,527.318","7,934.490","8,256.731","8,173.782",0.018,"4,208.502",504.123,0.132,6.630,0.000,"23,520.826","16,499.123",187.569,
Apr - Jun 2013,Household WEEE returned under regulation 43 (tonnes),"5,739.229",477.259,256.457,98.797,0.000,179.729,14.422,0.060,2.213,0.000,927.558,"3,868.208",7.948,
Apr - Jun 2013,Household WEEE returned under regulation 50 (tonnes),"3,807.365","1,110.769",752.294,824.005,0.834,170.693,42.774,6.069,3.516,0.119,"2,091.011","2,446.646",23.814,
Jan - Mar 2013,"Household WEEE collected from a DCF 
(tonnes)","27,087.626","6,350.046","6,549.853","6,625.901",0.000,"3,371.379",404.019,0.008,5.371,0.000,"23,723.229","14,833.521",154.232,
Jan - Mar 2013,Household WEEE returned under regulation 43 (tonnes),"5,873.951",334.446,196.953,99.096,0.000,233.572,10.881,0.012,1.871,0.000,"1,312.026","3,317.469",4.423,
Jan - Mar 2013,Household WEEE returned under regulation 50 (tonnes),"4,457.902",866.023,678.873,818.434,1.139,137.220,68.960,0.694,3.655,0.250,"2,408.802","2,842.082",30.996,
Oct - Dec 2012,"Household WEEE collected from a DCF 
(tonnes)","25,183.747","5,861.746","6,295.040","6,032.461",0.000,"3,108.740",399.563,0.000,4.950,0.000,"25,171.039","14,515.478",155.994,
Oct - Dec 2012,Household WEEE returned under regulation 43 (tonnes),"5,707.907",437.939,217.807,119.221,0.025,256.898,20.843,0.001,1.846,0.029,"1,581.061","3,597.212",4.945,
Oct - Dec 2012,Household WEEE returned under regulation 50 (tonnes),"5,447.460",657.692,"1,929.473","1,403.097",0.064,178.100,99.526,3.629,1.098,0.051,"4,581.941","4,503.144",30.039,
Jul - Sep 2012,"Household WEEE collected from a DCF 
(tonnes)","23,646.406","7,139.835","7,084.647","7,403.472",0.011,"3,751.234",452.890,0.000,6.044,0.000,"28,309.653","16,329.105",170.700,
Jul - Sep 2012,Household WEEE returned under regulation 43 (tonnes),"4,819.209",938.483,365.351,118.432,0.015,278.695,31.038,0.000,2.484,0.041,"1,645.307","3,992.564",7.271,
Jul - Sep 2012,Household WEEE returned under regulation 50 (tonnes),"7,689.581","1,046.699","1,323.623","1,007.840",0.057,208.138,55.411,3.161,2.855,0.000,"4,637.982","5,758.816",38.384,
Apr - Jun 2012,"Household WEEE collected from a DCF 
(tonnes)","22,622.077","6,891.021","6,863.922","6,996.712",0.001,"3,658.229",433.268,0.000,6.375,0.016,"28,479.685","14,334.029",170.769,
Apr - Jun 2012,Household WEEE returned under regulation 43 (tonnes),"4,673.417","1,003.929",539.188,198.081,0.025,284.918,49.573,0.001,1.700,0.000,"1,645.195","3,170.567",19.644,
Apr - Jun 2012,Household WEEE returned under regulation 50 (tonnes),"6,678.012",810.544,969.627,"1,046.133",0.015,268.062,90.964,0.100,0.157,0.080,"4,249.592","4,398.074",39.778,
Jan - Mar 2012,"Household WEEE collected from a DCF 
(tonnes)","24,859.431","6,615.179","6,808.296","6,672.399",0.000,"3,422.086",480.262,0.000,5.334,0.000,"30,425.372","13,840.575",168.497,
Jan - Mar 2012,Household WEEE returned under regulation 43 (tonnes),"5,105.979",301.920,471.700,109.513,0.030,290.322,25.839,0.000,2.742,0.100,"1,767.842","3,940.886",15.007,
Jan - Mar 2012,Household WEEE returned under regulation 50 (tonnes),"7,275.447",638.867,996.156,"1,041.229",0.000,187.732,91.525,0.008,4.548,0.000,"3,093.564","3,910.510",44.006,
Oct - Dec 2011,"Household WEEE collected from a DCF 
(tonnes)","23,118.401","5,472.700","5,774.469","5,578.972",0.000,"2,951.891",355.803,0.010,10.369,0.000,"28,224.232","14,289.175",153.991,
